"","country","year","parent_company","empty","hdpe","ldpe","o","pet","pp","ps","pvc","grand_total","num_events","volunteers","country.code","lang1","lang2","lang3","lang4","lang5","lang6","lang7","lang8","lang9","lang10","lang11","total_plastic","gdp"
"1","Argentina",2019,"Grand Total",0,215,55,607,1376,281,116,18,2668,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"2","Argentina",2019,"Unbranded",0,155,50,532,848,122,114,17,1838,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"3","Argentina",2019,"The Coca-Cola Company",0,0,0,0,222,35,0,0,257,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"4","Argentina",2019,"Secco",0,0,0,0,39,4,0,0,43,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"5","Argentina",2019,"Doble Cola",0,0,0,0,38,0,0,0,38,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"6","Argentina",2019,"Pritty",0,0,0,0,22,7,0,0,29,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"7","Argentina",2019,"PepsiCo",0,0,0,0,21,6,0,0,27,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"8","Argentina",2019,"Casoni",0,0,0,0,26,0,0,0,26,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"9","Argentina",2019,"Villa Del Sur - Levite",0,0,0,0,19,1,0,0,20,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"10","Argentina",2019,"Manaos",0,0,0,0,14,4,0,0,18,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"11","Argentina",2019,"La Bichy Ahora",0,0,0,0,14,3,0,0,17,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"12","Argentina",2019,"Villavicencio",0,0,0,0,14,1,0,0,15,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"13","Argentina",2019,"Eco De Los Andes",0,0,0,0,14,0,0,0,14,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"14","Argentina",2019,"Cavatini",0,0,0,13,0,0,0,0,13,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"15","Argentina",2019,"Villa Del Sur",0,0,0,0,8,3,0,0,11,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"16","Argentina",2019,"Cepita",0,0,0,0,9,0,0,0,9,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"17","Argentina",2019,"Livra",0,0,0,0,5,4,0,0,9,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"18","Argentina",2019,"Nestlé",0,1,0,0,6,2,0,0,9,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"19","Argentina",2019,"Vino Toro",0,0,0,8,0,0,0,0,8,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"20","Argentina",2019,"Frutafiel",0,0,0,0,6,1,0,0,7,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"21","Argentina",2019,"Unilever",0,1,0,3,1,2,0,0,7,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"22","Argentina",2019,"Arcor",0,0,0,1,0,5,0,0,6,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"23","Argentina",2019,"SC Johnson",0,1,1,3,0,0,0,0,5,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"24","Argentina",2019,"Seven Up",0,0,0,0,5,0,0,0,5,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"25","Argentina",2019,"Dea",0,0,0,0,3,2,0,0,5,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"26","Argentina",2019,"Sierra De Los Padres",0,0,0,0,4,1,0,0,5,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
"27","Argentina",2019,"The Clorox Group",0,4,0,0,0,1,0,0,5,4,243,"032","Guaraní","Spanish",NA,NA,NA,NA,NA,NA,NA,NA,NA,5336,447754683615.225
